Game ID,Win,Word,Guesses,Strategy Mode,Pattern Progression,Strategy Log
1125ade3049f,❌,_ _ _ _ _ _ _ _ _ ,"i, e, a, t, r, n, d, c, l, o, u, b",,,
b82e11afab60,❌,_ _ _ _ _ _ _ _ ,"i, e, a, t, c, r, v, p, d, h",,,
031c2583c0aa,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, l, n, m, r, h, c, s, d, p, b",,,
ee217a31b50c,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, n, s, l, h, d, m, u, c, g, f",,,
aa7290d3542a,❌,_ _ _ _ _ _ _ _ ,"i, e, n, v, d, s, r, a, h, p, t, m",,,
bac7be646e2c,❌,_ _ _ _ ,"i, e, a, o, u, y, s",,,
7e9290f21ab6,❌,_ _ _ _ _ ,"i, e, a, t, r, n, l, s",,,
bd3d17712079,❌,_ _ _ _ _ _ _ _ _ _ ,"i, t, l, n, a, r, s, e, c, o, d, m, g",,,
5cfb07fccf00,❌,_ _ _ _ _ _ _ _ _ ,"i, e, a, t, o, n, r, v, p, d",,,
a8682f9ea062,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, e, n, t, r, v, p, s, u, a, g, b, l, o",,,
020970e69df2,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, m, u, c, l, p",,,
d806d1d740f5,❌,_ _ _ _ _ _ ,"i, e, a, o, u, r, p, b, m, n",,,
3cef8ab62a57,❌,_ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, v, p, s, d",,,
4764fd5b5ffb,❌,_ _ ,"i, e, a, o, u, y",,,
fd60e226acf1,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, o, n, r, s, h, c, k, d, p, g",,,
8880c0bf9a63,❌,_ _ _ _ _ _ _ _ _ ,"i, t, l, n, g, b, v, a, r, h, p, d",,,
88fb42024cb7,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, c, t, n, s, r, p, m, d",,,
0218c5a58902,❌,_ _ _ _ _ _ _ _ _ ,"i, e, r, t, n, m, c, s, l, h, g, p",,,
9cf0078edeaf,❌,_ _ _ _ _ _ _ _ ,"i, e, a, t, r, n, s, o, h, u",,,
28ec525a7eff,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, n, v, d, s, a, o, t, r, c, m, l, p",,,
744216ad1be3,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, o, n, r, m, g, l, c, h, b, v",,,
2d632152d25c,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, n, o, a, r, t, s, v, d, z",,,
73d5a7c751b4,❌,_ _ _ _ _ _ _ _ ,"i, e, a, o, l, t, r, m, p, c",,,
7a7a0513e70d,❌,_ _ _ _ _ _ _ ,"i, e, a, c, n, d, r, t, m, o",,,
3ced92419b7a,❌,_ _ _ _ _ _ _ ,"i, e, a, t, n, o, s, c, l, h, m",,,
67380d2ecc3a,❌,_ _ _ _ _ _ _ ,"i, e, a, t, r, n, s, p, w",,,
6f09b0097874,❌,_ _ _ _ _ _ _ _ ,"i, e, n, t, d, s, m, v, l, r, o, z",,,
fe01672405ca,❌,_ _ _ _ _ _ ,"i, e, a, o, u, y, s, d",,,
534818aa079f,❌,_ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, m, c, p, d, h",,,
3dff4a5bd393,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, o, n, r, m, l, u, c, p, h",,,
0b4eb4a1df98,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, n, o, s, c, v, d, t, z, a, r",,,
8e9999459e09,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, a, r, t, s, o, l, u, n, m, c",,,
ecc56d45a1eb,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, n, v, t, a, c, r, m, o, d",,,
514a1308668f,❌,_ _ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, p, u, s, n, d, h, c",,,
3e14ee492a51,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, e, n, o, s, t, a, r, h, m, l, v, d, z, f, b",,,
784955caf067,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, r, d, n, s, t, u, h, c, o, f, l, b, m, p",,,
1dbe7e1714c0,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, r, n, l, g, u, c, d, o, s, v, h",,,
bdde7eb7da7b,❌,_ _ _ _ _ _ _ ,"i, e, a, t, c, r, g, n, l, d, s",,,
